Alpine function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
15,2892.41,237,6,33.31,8085.48,5,30
16,2909.05,50,7,285.03,8368.91,3,30
17,4300.37,414,8,180.50,15302.25,3,30
18,4337.12,191,5,90.45,90202.93,4,30
19,4362.06,131,8,45.12,32718.35,7,30
20,2902.20,350,1,68.03,66292.54,8,30
Schwefel function Generational GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,2384.02,400,7,148882.88,177356764.42,9,10
2,2115.00,240,8,65083.39,1773585689.46,3,10
3,2133.15,196,6,20534.73,2449145411.25,5,10
4,3205.58,23,1,10878.91,710827094.68,5,10
5,2108.63,444,7,381.00,657970708.04,6,10
6,3185.85,354,7,31946.10,393896542.65,7,10
7,3207.74,95,7,9484.14,4282257617.90,7,10
8,3145.37,185,8,2376.84,152280486.34,0,10
9,2134.70,236,4,94831.98,411723243.50,1,10
10,3207.78,254,7,95652.83,21321263.41,3,10
11,2112.15,335,8,4515.59,2771609474.25,4,10
12,2100.55,412,4,37813.02,511953106.79,8,10
13,2128.80,99,1,65149.98,2449702784.91,4,10
14,2152.52,133,7,3029.05,2200128302.06,1,10
15,3211.25,41,6,862.35,3360360073.56,6,10
16,3149.18,5,5,62.45,712007393.28,7,10
17,2116.04,48,5,6926.49,1135084826.93,9,10
18,3200.77,17,3,64230.80,2082767785.15,5,10
19,3156.63,184,5,3465.48,1475430029.69,3,10
20,3186.92,397,7,621.43,2124149600.64,5,10
1,3199.25,142,1,23341.65,1288487442.30,3,30
2,3153.30,141,4,2671.08,865118434.04,1,30
3,2148.07,288,3,30432.30,1907087647.14,4,30
4,2124.37,207,0,3746.13,69876888.59,8,30
5,2132.91,419,5,54.13,1009997269.79,9,30
6,3193.04,150,8,6322.25,266470133.84,6,30
7,3123.79,85,7,13229.33,1444270945.81,7,30
8,3174.72,169,8,103785.51,1133678204.05,6,30
9,2151.82,302,8,288.96,2547129544.56,7,30
10,2153.49,308,6,6165.26,1750101543.46,3,30
11,2155.87,324,3,6630.62,174754298.43,5,30
12,2136.45,288,4,205.59,1495481730.14,9,30
13,3195.63,371,6,1.81,161382581.23,6,30
14,2110.71,410,4,64170.24,51359782.41,2,30
15,3167.84,366,8,396.56,599819784.04,8,30
16,2125.86,416,8,45957.37,4003368069.55,6,30
17,2146.80,220,4,59518.88,5376983575.54,8,30
18,2123.93,188,6,18856.47,1664534420.84,6,30
19,3160.79,18,4,23826.23,551275199.52,7,30
20,2125.75,29,5,121.78,1464104366.79,1,30
Streched function Generational GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,3683.04,164,1,2.35,8.90,5,10
2,4189.45,318,1,2.19,6.92,2,10
3,2825.40,480,5,2.47,9.22,9,10
4,4247.32,271,4,3.10,8.97,5,10
5,2832.27,366,2,2.76,6.24,1,10
6,2853.94,13,7,2.62,5.84,3,10
7,4229.83,436,6,2.65,4.73,4,10
